Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1_page_001.xml,Tesseract,0.081747,0.299459,188,36,214,39,21,217,5358,925
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10_page_001.xml",Tesseract,0.104799,0.367668,123,48,209,17,48,192,3626,699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.xml",Tesseract,0.092092,0.290807,145,94,292,29,23,258,5766,1066
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31_page_001.xml,Tesseract,0.143417,0.413374,192,71,249,27,23,222,3570,658
Anonymous - 1700 - Directions for Sugar Plums_page_1_page_001.xml,Tesseract,0.429883,0.707353,487,262,796,90,51,340,3594,680
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50_page_001.xml,Tesseract,0.145297,0.376891,249,116,205,55,31,188,3923,727
Anonymous - 1704 - Female Policy Detected_page_73_page_001.xml,Tesseract,0.072973,0.296552,23,13,72,12,5,69,1480,290
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1_page_001.xml,Tesseract,0.104083,0.275956,135,4,93,28,2,71,2229,366
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1_page_001.xml",Tesseract,0.134295,0.372457,214,104,157,44,32,162,3537,639
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19_page_001.xml,Tesseract,0.242737,0.707317,72,46,141,1,34,110,1067,205
Anonymous - 1721 - The unhappy voyage_page_1_page_001.xml,Tesseract,0.165167,0.383648,442,125,296,99,19,248,5225,954
Anonymous - 1726 - The State of the Island of Jamaica_page_41_page_001.xml,Tesseract,0.225352,0.576923,109,78,181,12,14,139,1633,286
Anonymous - 1728 - Some observations on the Assiento Trade_page_22_page_001.xml,Tesseract,0.106436,0.364903,51,47,117,9,7,115,2020,359
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2_page_001.xml,Tesseract,0.152998,0.372951,165,231,270,26,26,221,4353,732
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1_page_001.xml,Tesseract,0.039718,0.176000,25,8,46,11,6,49,1989,375
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25_page_001.xml,Tesseract,0.039514,0.180258,2,3,47,0,3,39,1316,233
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118_page_001.xml",Tesseract,0.117966,0.295610,287,191,197,80,35,188,5722,1025
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6_page_001.xml,Tesseract,0.079093,0.303269,90,87,210,21,28,220,4893,887
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41_page_001.xml,Tesseract,0.062063,0.275701,27,5,39,6,3,50,1144,214
Anonymous - 1752 - The art of making sugar_page_1_page_001.xml,Tesseract,0.112782,0.355263,19,140,141,9,20,133,2660,456
Anonymous - 1753 - An accurate description of the cacao-tree_page_2_page_001.xml,Tesseract,0.062005,0.306954,13,34,86,3,26,99,2145,417
Anonymous - 1757 - The Jamaica Association Develop'd_page_14_page_001.xml,Tesseract,0.050975,0.275556,11,3,54,4,2,56,1334,225
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1_page_001.xml,Tesseract,0.045426,0.224561,8,6,58,4,1,59,1585,285
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64_page_001.xml,Tesseract,0.084781,0.285714,35,8,79,11,3,62,1439,266
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7_page_001.xml",Tesseract,0.048899,0.243902,15,6,110,3,3,104,2679,451
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74_page_001.xml,Tesseract,0.166213,0.434028,47,66,131,7,13,105,1468,288
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32_page_001.xml,Tesseract,0.080800,0.369668,59,2,40,27,1,50,1250,211
Anonymous - 1792 - Bristol an abstract of the city charter_page_32_page_001.xml,Tesseract,0.046468,0.185930,8,1,41,2,1,34,1076,199
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15_page_001.xml,Tesseract,0.051128,0.213043,5,15,48,0,4,45,1330,230
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1_page_001.xml",Tesseract,0.006579,0.045113,2,0,3,2,0,4,760,133
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7_page_001.xml,Tesseract,0.184089,0.436066,215,16,49,52,8,73,1521,305
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243_page_001.xml,Tesseract,0.000754,0.008772,1,0,0,1,0,1,1327,228
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9_page_001.xml",Tesseract,0.076909,0.256813,176,50,195,42,11,192,5474,954
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5_page_001.xml",Tesseract,0.094121,0.326656,130,38,189,18,27,167,3793,649
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1_page_001.xml,Tesseract,0.051988,0.182692,12,6,67,2,2,53,1635,312
Banks - 1699 - The unhappy favourite_page_37_page_001.xml,Tesseract,0.140394,0.443590,83,50,152,15,24,134,2030,390
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1_page_001.xml,Tesseract,0.155206,0.323129,155,11,71,26,5,64,1527,294
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74_page_001.xml,Tesseract,0.053313,0.229249,16,5,49,8,5,45,1313,253
Burroughs - 1659 - Rich Newes from Jamaica_page_4_page_001.xml,Tesseract,0.451837,0.741379,49,300,106,8,56,65,1007,174
